Code	Color	Name	MainType	UMLS	NCI	Tissue	Parent
CESE	Teal	Cervical Serous Carcinoma	Cervical Cancer			Cervix	CEAD
IHCH	Green	Intrahepatic Cholangiocarcinoma	Hepatobiliary Cancer	C0345905	C35417	Biliary Tract	CHOL
SCLC	Gainsboro	Small Cell Lung Cancer	Small Cell Lung Cancer	C0149925	C4917	Lung	LNET
COM	HotPink	Carcinoma with Osseous Metaplasia	Breast Cancer	C1711312	C47848	Breast	MMBC
PCLBCLLT	LimeGreen	Primary Cutaneous DLBCL, Leg Type	B-Cell Lymphoid Proliferations and Lymphomas	C1709656	C45194	Hematopoietic	LBL
PMBL	LimeGreen	Primary Mediastinal Large B-Cell Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C1292754	C9280	Hematopoietic	LBL
PAAC	Purple	Acinar Cell Carcinoma of the Pancreas	Pancreatic Cancer	C0279661	C7977	Pancreas	PANCREAS
URCC	Orange	Unclassified Renal Cell Carcinoma	Renal Cell Carcinoma	C1336853	C27892	Kidney	NCCRCC
PRAD	Cyan	Prostate Adenocarcinoma	Prostate Cancer	C0007112	C2919	Prostate	PROSTATE
POCA	Black	Porocarcinoma/Spiroadenocarcinoma	Skin Cancer, Non-Melanoma	C1266065	C5560	Skin	SKIN
APE	Gray	Anaplastic Ependymoma	CNS Cancer	C0280788	C4049	CNS/Brain	EPMT
NMZL	LimeGreen	Nodal Marginal Zone Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C0855139	C8863	Hematopoietic	MZL
PHCH	Green	Perihilar Cholangiocarcinoma	Hepatobiliary Cancer	C3273047	C96804	Biliary Tract	CHOL
ECAD	Teal	Endocervical Adenocarcinoma	Cervical Cancer	C1299237	C28327	Cervix	CEAD
TRCC	Orange	Translocation-Associated Renal Cell Carcinoma	Renal Cell Carcinoma	C1337036	C27891	Kidney	NCCRCC
PAASC	Purple	Adenosquamous Carcinoma of the Pancreas	Pancreatic Cancer	C1335299	C5721	Pancreas	PANCREAS
CMC	SaddleBrown	Medullary Carcinoma of the Colon	Colorectal Cancer	C1880119	C60641	Bowel	BOWEL
MCS	HotPink	Metaplastic Carcinosarcoma	Breast Cancer			Breast	MMBC
EMBCA	Red	Embryonal Carcinoma	Germ Cell Tumor	C0238448	C6341	Testis	NSGCT
EBVDLBCLNOS	LimeGreen	EBV Positive DLBCL	B-Cell Lymphoid Proliferations and Lymphomas	C5707789	C80281	Hematopoietic	LBL
PRNE	Cyan	Prostate Neuroendocrine Carcinoma	Prostate Cancer	C1335515	C5545	Prostate	PROSTATE
CCE	Gray	Clear Cell Ependymoma	CNS Cancer	C1384404	C4714	CNS/Brain	EPMT
CEMN	Teal	Mesonephric Carcinoma	Cervical Cancer	CL329978		Cervix	CEAD
PRSCC	Cyan	Prostate Small Cell Carcinoma	Prostate Cancer	C1300585	C6766	Prostate	PROSTATE
BFN	HotPink	Breast Fibroepithelial Neoplasms	Breast Sarcoma	C1511309	C40405	Breast	BREAST
ETANTR	Gray	Embryonal Tumor with Abundant Neuropil and True Rosettes	Embryonal Tumor	C0700367	C4915	CNS/Brain	OCNSET
PCNSL	LimeGreen	Primary Large B-Cell Lymphoma of The CNS	B-Cell Lymphoid Proliferations and Lymphomas	C0280803	C9301	Hematopoietic	PLBIPS
MGCT	Red	Mixed Germ Cell Tumor	Germ Cell Tumor	C1336720	C6347	Testis	NSGCT
MGUSIGA	LimeGreen	IgA Monoclonal Gammopathy of Undetemined Significance	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	NMGUSIGM
SBC	SaddleBrown	Small Bowel Cancer	Small Bowel Cancer	C0238196	C7724	Bowel	BOWEL
PD	HotPink	Paget Disease of the Nipple	Breast Cancer	C1704323	C3301	Breast	DCIS
WT	Orange	Wilms' Tumor	Wilms Tumor	CL343552		Kidney	KIDNEY
EBVMCU	LimeGreen	EBV Positive Mucocutaneous Ulcer	B-Cell Lymphoid Proliferations and Lymphomas	C4324739	C131906	Hematopoietic	LPLIDD
MP	PeachPuff	Molar Pregnancy	Gestational Trophoblastic Disease	C0020217	C3110	Uterus	GTD
PACT	Purple	Cystic Tumor of the Pancreas	Pancreatic Cancer	C1518872	C41247	Pancreas	PANCREAS
BLSC	Yellow	Bladder Squamous Cell Carcinoma	Bladder Cancer	C0279681	C4031	Bladder/Urinary Tract	BLADDER
PEL	LimeGreen	Primary Effusion Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C1292753	C6915	Hematopoietic	KSHVHHV8BLPL
PRSC	Cyan	Prostate Squamous Cell Carcinoma	Prostate Cancer	C1302530	C5536	Prostate	PROSTATE
GNBL	Gray	Ganglioneuroblastoma	Peripheral Nervous System	C0206718	C3790	Peripheral Nervous System	PNS
CHM	PeachPuff	Complete Hydatidiform Mole	Gestational Trophoblastic Disease	C0678213	C4871	Uterus	MP
MRT	Orange	Rhabdoid Cancer	Rhabdoid Cancer	C0206743	C3808	Kidney	KIDNEY
DA	SaddleBrown	Duodenal Adenocarcinoma	Small Bowel Cancer	C0278804	C7889	Bowel	SBC
FA	HotPink	Fibroadenoma	Breast Sarcoma	C0206650	C3744	Breast	BFN
MUCC	DarkRed	Mucoepidermoid Carcinoma	Salivary Gland Cancer	C0206694	C3772	Head and Neck	SACA
SMMCL	LightSalmon	Mast Cell Leukemia	Mastocytosis	C0023461	C3169	Hematopoietic	SM
MGUSIGG	LimeGreen	IgG Monoclonal Gammopathy of Undetermined Significance	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	NMGUSIGM
IPMN	Purple	Intraductal Papillary Mucinous Neoplasm	Pancreatic Cancer	C1518869	C38342	Pancreas	PACT
TT	Red	Teratoma	Germ Cell Tumor	C0238451	C3877	Testis	NSGCT
DLBCLCI	LimeGreen	DLBCL Associated with Chronic Inflammation	B-Cell Lymphoid Proliferations and Lymphomas	C2699776	C80289	Hematopoietic	LBL
BLAD	Yellow	Bladder Adenocarcinoma	Bladder Cancer	C0279682	C4032	Bladder/Urinary Tract	BLADDER
PT	HotPink	Phyllodes Tumor of the Breast	Breast Sarcoma	C0238031	C7575	Breast	BFN
IHM	PeachPuff	Invasive Hydatidiform Mole	Gestational Trophoblastic Disease	C0008493	C6985	Uterus	MP
LYG	LimeGreen	Lymphomatoid Granulomatosis, NOS	B-Cell Lymphoid Proliferations and Lymphomas	C0024307	C7930	Hematopoietic	LBL
MCN	Purple	Mucinous Cystic Neoplasm	Pancreatic Cancer	C1518872	C41247	Pancreas	PACT
SIC	SaddleBrown	Small Intestinal Carcinoma	Small Bowel Cancer	C0238196	C7724	Bowel	BOWEL
ACBC	HotPink	Adenoid Cystic Breast Cancer	Breast Cancer	C1332167	C5130	Breast	BRCA
IOPN	Purple	Intraductal Oncocytic Papillary Neoplasm	Pancreatic Cancer			Pancreas	PACT
MYEC	DarkRed	Myoepithelial Carcinoma	Salivary Gland Cancer	C1335904	C35700	Head and Neck	SACA
MCSL	LightSalmon	Mast Cell Sarcoma	Mastocytosis	C0036221	C9348	Hematopoietic	MCD
GCTSTM	Red	Germ Cell Tumor with Somatic-Type Malignancy	Germ Cell Tumor			Testis	NSGCT
MHCD	LimeGreen	Mu Heavy-Chain Disease	B-Cell Lymphoid Proliferations and Lymphomas	C0242310	C3892	Hematopoietic	HCD
OSMBT	LightBlue	Ovarian Seromucinous Borderline Tumor	Ovarian Cancer	C1511264	C40038	Ovary/Fallopian Tube	OVT
BLPT	HotPink	Borderline Phyllodes Tumor of the Breast	Breast Sarcoma	C1332592	C5316	Breast	PT
MBEN	Gray	Medulloblastoma with Extensive Nodularity	Embryonal Tumor	C1334970	C5407	CNS/Brain	MBLHD
FLC	MediumSeaGreen	Fibrolamellar Carcinoma	Hepatobiliary Cancer	C0334287	C4131	Liver	LIVER
PSC	Purple	Serous Cystadenoma of the Pancreas	Pancreatic Cancer	C1335316	C5712	Pancreas	PACT
CPC	Gray	Choroid Plexus Carcinoma	Choroid Plexus Tumor	C0431109	C4715	CNS/Brain	CPT
BPT	HotPink	Benign Phyllodes Tumor of the Breast	Breast Sarcoma	C1332533	C5196	Breast	PT
TYST	Red	Yolk Sac Tumor	Germ Cell Tumor	C0279708	C8000	Testis	NSGCT
ITPN	Purple	Intraductal Tubulopapillary Neoplasm	Pancreatic Cancer			Pancreas	PACT
ADPA	Black	Aggressive Digital Papillary Adenocarcinoma	Skin Cancer, Non-Melanoma	C1367789	C27534	Skin	SKIN
SAAD	DarkRed	Salivary Adenocarcinoma	Salivary Gland Cancer	C0279746	C8021	Head and Neck	SACA
BRSRCC	HotPink	Breast Carcinoma with Signet Ring	Breast Cancer	C1335964	C5175	Breast	BRCA
PHM	PeachPuff	Partial Hydatidiform Mole	Gestational Trophoblastic Disease	C0334529	C4293	Uterus	MP
MNGLP	LightSalmon	Myeloid Neoplasms with Germ Line Predisposition	Myeloid Neoplasms with Germ Line Predisposition	C4330727		Hematopoietic	MNPAPC
OSMCA	LightBlue	Ovarian Seromucinous Carcinoma	Ovarian Cancer	C0279392	C40090	Ovary/Fallopian Tube	OVT
OFMT	LightYellow	Ossifying Fibromyxoid Tumor	Soft Tissue Sarcoma	C1266128	C6582	Soft Tissue	MYXO
GHCD	LimeGreen	Gamma Heavy-Chain Disease	B-Cell Lymphoid Proliferations and Lymphomas	C0018854	C3083	Hematopoietic	HCD
LIAD	MediumSeaGreen	Hepatocellular Adenoma	Hepatobiliary Cancer	C0206669	C3758	Liver	LIVER
MPT	HotPink	Malignant Phyllodes Tumor of the Breast	Breast Sarcoma	C0346154	C4504	Breast	PT
BRCANOS	HotPink	Breast Invasive Cancer, NOS	Breast Cancer			Breast	BRCA
SEM	Red	Seminoma	Germ Cell Tumor	C0036631	C9309	Testis	TESTIS
AHCD	LimeGreen	Alpha Heavy-Chain Disease	B-Cell Lymphoid Proliferations and Lymphomas	C0021071	C3132	Hematopoietic	HCD
LIHB	MediumSeaGreen	Hepatoblastoma	Hepatobiliary Cancer	C0206624	C3728	Liver	LIVER
SCCO	LightBlue	Small Cell Carcinoma of the Ovary	Ovarian Cancer	C2212006	C27390	Ovary/Fallopian Tube	OVT
IPN	Green	Intraductal Papillary Neoplasm of the Bile Duct	Hepatobiliary Cancer			Biliary Tract	BILIARY_TRACT
UCCA	PeachPuff	Choriocarcinoma	Gestational Trophoblastic Disease	C0279677	C27246	Uterus	GTD
IVBCL	LimeGreen	Intravascular Large B-Cell Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C0334660	C4342	Hematopoietic	LBL
OSACA	DarkRed	Salivary Carcinoma, Other	Salivary Gland Cancer			Head and Neck	SACA
PAAD	Purple	Pancreatic Adenocarcinoma	Pancreatic Cancer	C0281361	C8294	Pancreas	PANCREAS
PGNG	Gray	Paraganglioma	Miscellaneous Neuroepithelial Tumor	C0030421	C3308	Soft Tissue	SOFT_TISSUE
MCCHL	LimeGreen	Classic Hodgkin Lymphoma, Mixed Cellularity	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	CHL
AMKL	LightSalmon	Acute Megakaryoblastic Leukemia	Leukemia	C0023462	C3170	Hematopoietic	AMLNOS
MBLNWS	Gray	Medulloblastoma, Non-WNT, Non-SHH	Medulloblastoma			CNS/Brain	MBLMD
HSTCL	LimeGreen	Hepatosplenic T-cell Lymphoma	Mature T and NK Neoplasms	C1333984	C8459	Hematopoietic	MTNN
UAS	PeachPuff	Uterine Adenosarcoma	Uterine Sarcoma	C1336917	C6336	Uterus	USARC
AN	Black	Atypical Nevus	Skin Cancer, Non-Melanoma			Skin	SKIN
OM	Green	Ocular Melanoma	Melanoma	C0558356	C8562	Eye	EYE
RDD	LightSalmon	Rosai-Dorfman Disease	Histiocytosis	C0019625	C36075	Hematopoietic	HN
SCCE	Teal	Small Cell Carcinoma of the Cervix	Cervical Cancer	C0279674	C7982	Cervix	CERVIX
SCOS	White	Small Cell Osteosarcoma	Bone Cancer	C0279622	C4023	Bone	OS
DIA	Gray	Desmoplastic Infantile Astrocytoma	Miscellaneous Neuroepithelial Tumor	C0457179	C9476	CNS/Brain	GNT
MBLG3	Gray	Medulloblastoma, Group 3	Medulloblastoma			CNS/Brain	MBLNWS
SPTCL	LimeGreen	Subcutaneous Panniculitis-Like T-Cell Lymphoma	Mature T and NK Neoplasms	C0522624	C6918	Hematopoietic	PCTLPL
MATPL	LightSalmon	Myeloid Atypical	Blood Cancer, NOS			Hematopoietic	MYELOID
MYELOID	LightSalmon	Myeloid	Blood Cancer	C0005767	C12434	Hematopoietic	HEMATOPOIETIC
ABL	LightSalmon	Acute Basophilic Leukemia	Leukemia	C0023437	C3164	Hematopoietic	AMLNOS
ANM	Gray	Anaplastic Meningioma	CNS Cancer	C0259785	C4051	CNS/Brain	MNGT
VGCE	Teal	Villoglandular Adenocarcinoma of the Cervix	Cervical Cancer	C1516425	C40208	Cervix	CERVIX
UAD	Yellow	Urethral Adenocarcinoma	Bladder Cancer	C1336885	C6167	Bladder/Urinary Tract	UCA
SKCM	Black	Cutaneous Melanoma	Melanoma	C0151779	C3510	Skin	MEL
TEOS	White	Telangiectatic Osteosarcoma	Bone Cancer	C0259782	C3902	Bone	OS
UM	Green	Uveal Melanoma	Melanoma	C0220633	C7712	Eye	OM
DIG	Gray	Desmoplastic Infantile Ganglioglioma	Miscellaneous Neuroepithelial Tumor	C1321878	C4738	CNS/Brain	GNT
MBLG4	Gray	Medulloblastoma, Group 4	Medulloblastoma			CNS/Brain	MBLNWS
USCC	Yellow	Urethral Squamous Cell Carcinoma	Bladder Cancer	C1336890	C6165	Bladder/Urinary Tract	UCA
CSCLC	Gainsboro	Combined Small Cell Lung Carcinoma	Small Cell Lung Cancer	C0334240	C9137	Lung	LUNG
DESM	Black	Desmoplastic Melanoma	Melanoma	C0334439	C37257	Skin	MEL
PXA	Gray	Pleomorphic Xanthoastrocytoma	Glioma	C0334586	C4323	CNS/Brain	CAG
LDD	Gray	Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease	Miscellaneous Neuroepithelial Tumor	C0391826	C8419	CNS/Brain	GNT
ATM	Gray	Atypical Meningioma	CNS Cancer	C0431122	C4723	CNS/Brain	MNGT
CM	Green	Conjunctival Melanoma	Melanoma	C0346360	C4550	Eye	OM
MS	LightSalmon	Myeloid Sarcoma	Leukemia	C4721505	C3520	Hematopoietic	AML
MBLNOS	Gray	Medulloblastoma, NOS	Medulloblastoma			CNS/Brain	MBL
DNT	Gray	Dysembryoplastic Neuroepithelial Tumor	Glioma	C1266177	C9505	CNS/Brain	GNT
CEAIS	Teal	Cervical Adenocarcinoma In Situ	Cervical Cancer	C0346203	C4520	Cervix	CERVIX
IMTL	Gainsboro	Inflammatory Myofibroblastic Lung Tumor	Non-Small Cell Lung Cancer	C1518038	C39740	Lung	LUNG
EVN	Gray	Extraventricular Neurocytoma	Miscellaneous Neuroepithelial Tumor	C2985175	C92555	CNS/Brain	GNT
CHOM	Gray	Chordoid Meningioma	CNS Cancer	C1370510	C6908	CNS/Brain	MNGT
UCU	Yellow	Urethral Urothelial Carcinoma	Bladder Cancer	CL448335		Bladder/Urinary Tract	UCA
MPRDS	LightSalmon	Myeloid Proliferations Related to Down Syndrome	Leukemia	C2826104	C82338	Hematopoietic	MNPAPC
MBENSHH	Gray	Medulloblastoma with Extensive Nodularity, SHH Subtype	Medulloblastoma with Extensive Nodularity			CNS/Brain	MBEN
CABC	Teal	Cervical Adenoid Basal Carcinoma	Cervical Cancer	C1516403	C40213	Cervix	CERVIX
SKLMM	Black	Lentigo Maligna Melanoma	Melanoma	C2739810	C9151	Skin	MEL
CHBL	White	Chondroblastoma	Bone Cancer	C0008441	C2945	Bone	BONE
CCM	Gray	Clear cell Meningioma	CNS Cancer	C0431121	C4722	CNS/Brain	MNGT
LAIS	Gainsboro	Lung Adenocarcinoma In Situ	Non-Small Cell Lung Cancer			Lung	LUNG
GNC	Gray	Gangliocytoma	Glioma	CL378224	C6934	CNS/Brain	GNT
GEJ	LightSkyBlue	Adenocarcinoma of the Gastroesophageal Junction	Esophagogastric Cancer	C1332166	C9296	Esophagus/Stomach	EGC
MBENNOS	Gray	Medulloblastoma with Extensive Nodularity, NOS	Medulloblastoma with Extensive Nodularity			CNS/Brain	MBEN
TAM	LightSalmon	Transient Abnormal Myelopoiesis	Leukemia	C1834582		Hematopoietic	MPRDS
EMALT	LimeGreen	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma)	B-Cell Lymphoid Proliferations and Lymphomas	C0242647	C3898	Hematopoietic	MZL
PLBMESO	Blue	Pleural Mesothelioma, Biphasic Type	Mesothelioma			Pleura	 PLMESO
HPCCNS	Gray	Hemangiopericytoma of the Central Nervous System	CNS Cancer	C0349622	C4660	CNS/Brain	MNGT
STAS	LightSkyBlue	Adenosquamous Carcinoma of the Stomach	Esophagogastric Cancer	C1333761	C5474	Esophagus/Stomach	EGC
MUP	Black	Melanoma of Unknown Primary	Melanoma			Skin	MEL
BPDCN	LightSalmon	Blastic Plasmacytoid Dendritic Cell Neoplasm	Blastic Plasmacytoid Dendritic Cell Neoplasm	C1301363	C7203	Hematopoietic	PDCN
CACC	Teal	Cervical Adenoid Cystic Carcinoma	Cervical Cancer	C1332911	C6346	Cervix	CERVIX
GNG	Gray	Ganglioglioma	Glioma	C0206716	C3788	CNS/Brain	GNT
PAMPCA	Purple	Pancreatobiliary Ampullary Carcinoma	Ampullary Cancer			Ampulla of Vater	AMPCA
MLADS	LightSalmon	Myeloid Leukemia Associated with Down Syndrome	Leukemia	C2825149	C43223	Hematopoietic	MPRDS
PLEMESO	Blue	Pleural Mesothelioma, Epithelioid Type	Mesothelioma			Pleura	 PLMESO
DDCHS	White	Dedifferentiated Chondrosarcoma	Bone Cancer	C0862878	C6476	Bladder/Urinary Tract	CHS
PPM	Gray	Papillary Meningioma	CNS Cancer	C3163622	C3904	CNS/Brain	MNGT
ALUCA	Gainsboro	Atypical Lung Carcinoid	Non-Small Cell Lung Cancer	C1708766	C45551	Lung	LNET
SKCN	Black	Congenital Nevus	Melanoma	C1318558	C3944	Skin	MEL
AGNG	Gray	Anaplastic Ganglioglioma	Glioma	C0431112	C4717	CNS/Brain	ENCG
ESCA	LightSkyBlue	Esophageal Adenocarcinoma	Esophagogastric Cancer	C0279628	C4025	Esophagus/Stomach	EGC
SCGBM	Gray	Small Cell Glioblastoma	Glioma	C1272516	C125890	CNS/Brain	GB
THFO	Teal	Follicular Thyroid Cancer	Thyroid Cancer	C0206682	C8054	Thyroid	WDTC
ABC	LimeGreen	DLBCL, Activated B-cell Subtype	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	DLBCLNOS
GRC	LightSkyBlue	Gastric Remnant Adenocarcinoma	Esophagogastric Cancer			Esophagus/Stomach	EGC
RHM	Gray	Rhabdoid Meningioma	CNS Cancer	C0259786	C6909	CNS/Brain	MNGT
LCH	LightSalmon	Langerhans Cell Histiocytosis	Histiocytosis	C0019621	C3107	Hematopoietic	LCN
LGGNOS	Gray	Low-Grade Glioma, NOS	Glioma			CNS/Brain	ENCG
CECC	Teal	Cervical Clear Cell Carcinoma	Cervical Cancer	C1332912	C6344	Cervix	CEAD
LUNE	Gainsboro	Large Cell Neuroendocrine Carcinoma	Non-Small Cell Lung Cancer	C1265996	C6875	Lung	LNET
PLSMESO	Blue	Pleural Mesothelioma, Sarcomatoid Type	Mesothelioma			Pleura	 PLMESO
HGGNOS	Gray	High-Grade Glioma, NOS	Glioma			CNS/Brain	DIFG
MCC	Black	Merkel Cell Carcinoma	Skin Cancer, Non-Melanoma	C0007129	C9231	Skin	SKIN
PREBE	lavender	Barrett’s Esophagus: Pre-Malignant	Pre-malignant Cancer			Esophagus/Stomach	STOMACH
PREHGD	lavender	High-Grade Dysplasia of the Esophagus/Stomach	Pre-malignant Cancer			Esophagus/Stomach	STOMACH
MLNJAK2	LightSalmon	Myeloid/Lymphoid Neoplasms with JAK2 Rearrangement	Leukemia			Hematopoietic	MLNER
ARCH	Black	Adenocarcinoma in Retrorectal Cystic Hamartoma	Adenocarcinoma in Retrorectal Cystic Hamartoma			Other	OTHER
FDCN	LightSalmon	Follicular Dendritic Cell Neoplasms	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	MDCN
SDNLT	LightSalmon	Stroma-Derived Neoplasms Of Lymphoid Tissues	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	HEMATOPOIETIC
MFBT	LightSalmon	Myofibroblastic Tumors	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	SDNLT
IPMA	LightSalmon	Intranodal Palisaded Myofibroblastoma	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	MFBT
XGA	LightSalmon	Xanthogranuloma	Histiocytosis			Hematopoietic	HN
MDCN	LightSalmon	Mesenchymal Dendritic Cell Neoplasms	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	SDNLT
EBVIFDCS	LightSalmon	EBV-Positive Inflammatory Follicular Dendritic Cell Sarcoma	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	FDCN
SSVST	LightSalmon	Spleen-Specific Vascular-Stromal Tumors	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	SDNLT
SVST	LightSalmon	Splenic Vascular-Stromal Tumors	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	SSVST
LCA	LightSalmon	Littoral Cell Angioma	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	SVST
SH	LightSalmon	Splenic Hamartoma	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	SVST
SANTS	LightSalmon	Sclerosing Angiomatoid Nodular Transformation Of Spleen	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	SVST
PTN	LimeGreen	Precursor T-Cell Neoplasms	T-cell and NK-cell lymphoid proliferations and lymphomas			Hematopoietic	TNLPL
PCTLPL	LimeGreen	Primary Cutaneous T-Cell Lymphoid Proliferations and Lymphomas	T-cell and NK-cell lymphoid proliferations and lymphomas			Hematopoietic	MTNN
TNLPL	LimeGreen	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	T-cell and NK-cell lymphoid proliferations and lymphomas			Hematopoietic	LNM
HN	LightSalmon	Histiocytic Neoplasms	Histiocytic and Dendritic Cell Neoplasms			Hematopoietic	HMN
LBL	LimeGreen	Large B-Cell Lymphomas	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	MBN
BLPL	LimeGreen	B-Cell Lymphoid Proliferations and Lymphomas	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	LNM
LCN	LightSalmon	Langerhans Cells Neoplasms	Histiocytic and Dendritic Cell Neoplasms			Hematopoietic	LCDN
KSHVHHV8BLPL	LimeGreen	KSHV/HHV8-Associated B-cell Lymphoid Proliferations and Lymphomas	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	MBN
ALALDI	LightSalmon	Acute Leukemia of Ambiguous Lineage Defined Immunophenotypically	Leukemia			Hematopoietic	ALAL
ALALDGA	LightSalmon	Acute Leukemia of Ambiguous Lineage with Defining Genetic Abnormalities	Leukemia			Hematopoietic	ALAL
PC	LimeGreen	Plasmacytoma	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	PCN
DMID	LimeGreen	Diseases with Monoclonal Immunoglobulin Deposition	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	PCNODP
PCN	LimeGreen	Plasma Cell Neoplasms	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	PCNODP
OPTL	LimeGreen	Other Peripheral T-Cell Lymphomas	T-cell and NK-cell lymphoid proliferations and lymphomas			Hematopoietic	MTNN
PNNSLP	LimeGreen	Preneoplastic and Neoplastic Small Lymphocytic Proliferations	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	MBN
CFCL	LimeGreen	Cutaneous Follicle Center Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	MBN
MTNL	LimeGreen	Mature T-Cell and NK-Cell Leukemias	T-cell and NK-cell lymphoid proliferations and lymphomas			Hematopoietic	TNLPL
MLN	LightSalmon	Myeloid/Lymphoid Neoplasms	Leukemia			Hematopoietic	MYELOID
PBN	LimeGreen	Precursor B-Cell Neoplasms	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	BLPL
ODCN	LightSalmon	Other Dendritic Cell Neoplasms	Histiocytic and Dendritic Cell Neoplasms			Hematopoietic	LCDN
EBVTNLPLC	LimeGreen	EBV-Positive T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas of Childhood	T-cell and NK-cell lymphoid proliferations and lymphomas			Hematopoietic	MTNN
ITNLPL	LimeGreen	Intestinal T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	T-cell and NK-cell lymphoid proliferations and lymphomas			Hematopoietic	MTNN
EBVTNL	LimeGreen	EBV-Positive T-Cell and NK-Cell Lymphomas	T-cell and NK-cell lymphoid proliferations and lymphomas			Hematopoietic	MTNN
MDSC	LightSalmon	Myelodysplastic Neoplasms of Childhood	Myeloid Proliferations and Neoplasms			Hematopoietic	MDS
PCNODP	LimeGreen	Plasma Cell Neoplasms and Other Diseases with Paraproteins	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	BLPL
PLBIPS	LimeGreen	Primary Large B-Cell Lymphoma Of Immune-Privileged Sites	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	LBL
NMGUSIGM	LimeGreen	Non-IgM Monoclonal Gammopathy of Undetermined Significance	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	MGUS
LPLIDD	LimeGreen	Lymphoid Proliferations and Lymphomas Associated with Immune Deficiency and Dysregulation	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	MBN
HCD	LimeGreen	Heavy Chain Diseases	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	PCNODP
SMNS	LightSalmon	Secondary Myeloid Neoplasms	Leukemia			Hematopoietic	MNM
PDCN	LightSalmon	Plasmacytoid Dendritic Cell Neoplasms	Histiocytic and Dendritic Cell Neoplasms			Hematopoietic	HDCN
MPDCP	LightSalmon	Mature Plasmacytoid Dendritic Cell Proliferation Associated With Myeloid Neoplasm	Histiocytic and Dendritic Cell Neoplasms			Hematopoietic	PDCN
LCDN	LightSalmon	Langerhans Cell And Other Dendritic Cell Neoplasms	Histiocytic and Dendritic Cell Neoplasms			Hematopoietic	HDCN
HMN	LightSalmon	Non-LCH Histiocyte/Macrophage Neoplasms	Histiocytic and Dendritic Cell Neoplasms			Hematopoietic	HDCN
ALKH	LightSalmon	ALK-Positive Histiocytosis	Histiocytic and Dendritic Cell Neoplasms			Hematopoietic	HN
MPLN	LightSalmon	Myeloid Precursor Lesions	Myeloid Proliferations and Neoplasms			Hematopoietic	MNM
CH	LightSalmon	Clonal Haematopoiesis	Myeloid Proliferations and Neoplasms			Hematopoietic	MPLN
CHIP	LightSalmon	Clonal Haematopoiesis Of Indeterminate Potential	Myeloid Proliferations and Neoplasms			Hematopoietic	CH
VS	LightSalmon	VEXAS Syndrome	Myeloid Proliferations and Neoplasms			Hematopoietic	CH
CCUS	LightSalmon	Clonal Cytopenia Of Undetermined Significance	Myeloid Proliferations and Neoplasms			Hematopoietic	CH
MPCM	LightSalmon	Maculopapular Cutaneous Mastocytosis	Myeloid Proliferations and Neoplasms			Hematopoietic	CMCD
DCM	LightSalmon	Diffuse Cutaneous Mastocytosis	Myeloid Proliferations and Neoplasms			Hematopoietic	CMCD
MC	LightSalmon	Mastocytoma	Myeloid Proliferations and Neoplasms			Hematopoietic	CMCD
BMM	LightSalmon	Bone Marrow Mastocytosis	Myeloid Proliferations and Neoplasms			Hematopoietic	SM
